CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
00.332.266/0001-31;2021-12-01;1;2022-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72.600.026/000;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.613.094/0001-74;2021-12-01;2;2022-03-07;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 37257821;;;WWW.BRKBDTVM.COM.BR;admfundos.brkb@brookfieldbr.com
00.762.723/0001-28;2021-12-01;1;2022-03-30;FUNDO DE INVET. IMOB. CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;2594279;N;N;Desenvolvimento para Renda;Outros;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Av. Chedid Jafet;222;Conj. 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2021-12-01;1;2022-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conj. 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2021-12-01;2;2022-03-31;FUNDO DE INVESTIMENTO IMOB. GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABPCCTF000;12803832;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Av. Chedid Jafet;222;Conj. 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.235.622/0001-61;2021-12-01;1;2022-03-31;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIARIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;912380;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;01235622000161;Rua Iguatemi;151;19º Andar;Itaim Bibi;São Paulo;SP;01451-011;11 3030-7177;;;www.brltrust.com.br;juridico.fii@brltrust.com.br
01.497.954/0001-14;2021-12-01;1;2022-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;0;8703994;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;12/2021;N;N;S;N;N;CORRETORA GERAL DE VALORES E CÂMBIO LTDA.;01.497.954/000;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90.010-090;(51) 3213-2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br
01.601.918/0001-59;2021-12-01;1;2022-03-31;FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO;1997-01-14;INVESTIDORES EM GERAL;BRFTLZCTF001;500000;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conj. 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.633.741/0001-72;2021-12-01;2;2022-03-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCTF010;508008;N;S;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA.;00336036000140;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
01.636.325/0001-28;2021-12-01;1;2022-03-30;FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO;1997-01-10;INVESTIDORES EM GERAL;BRPMOVCTF008;234900;S;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;01636325000128;AVENIDA NAÇÕES UNIDAS;11857;CJ. 111;BROOKLIN NOVO;SÃO PAULO;SP;04578908;11-5508.3500;;;WWW.BRCAPITAL.COM.BR;fundos@brcapital.com.br
01.657.856/0001-05;2021-12-01;1;2022-03-24;SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCTF003;4200000;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.;01657856000105;AV. DAS NAÇÕES UNIDAS;11.857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
01.964.775/0001-40;2021-12-01;1;2022-02-01;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;0;12583000;S;N;;;;Indeterminado;;31/12;S;N;N;S;N;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA JUSCELINO KUBITSCHEK;1830;10º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04543-000;11 2847-7491;;;N/C;carolina.angelo@bancobmg.com.br
02.027.437/0001-44;2021-12-01;1;2022-03-30;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;140000;N;N;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Av. Chedid Jafet;222;Conj. 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
02.508.235/0001-14;2021-12-01;1;2022-03-31;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;N;S;Renda;Logística;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Av. Chedid Jafet;222;Conj. 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
03.251.720/0001-18;2021-12-01;2;2022-03-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO  ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;N;S;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA.;00336036000140;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
03.507.519/0001-59;2021-12-01;1;2022-03-31;FUNDO DE INVESTIMENTO IMOB. SHOPPING PÁTIO HIGIENÓPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Av. Chedid Jafet;222;Conj. 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
