CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.497.954/0001-14;2016-12-01;1;Castro Martini Engenheiros Associados Ltda.;02.989.103/0001-51;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2016-12-01;1;Bernardes de Oliviera e Martini Engenheiros Associados S/S;10.412.737/0001-31;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2016-12-01;1;Lippert Advogados;92.248.004/0001-01;R Manoelito De Ornellas, 55 - 10 Andar -Porto Alegre/RS.;(51) 3227-3448
01.657.856/0001-05;2016-12-31;1;ADVOCACIA CAIO DRUSO;13243260000130;AV. TANCREDO NEVES, 620 - CONJ. 2305 - SALVADOR/BA;(71) 3023-5451
01.657.856/0001-05;2016-12-31;1;HUMILDE, PINHEIRO, LOPES, ROSA & CARIBE ADVOGADOS;5892995000166;RUA MANOEL ANDRADE, 55 - SALVADOR/BA;(71) 3113-2641
04.066.582/0001-60;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
04.141.645/0001-03;2016-12-31;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
04.722.883/0001-02;2016-12-01;1;CONDOMÍNIO CENTRO EMPRESARIAL NAÇÕES UNIDAS;03.368.787/0001-37;Av. das Nações Unidas, 12901 - Itaim Bibi, São Paulo - SP, 04795-100;(11) 5102-3372
04.722.883/0001-02;2016-12-01;1;Prefeitura Municapal de São Paulo;49.269.236/0019-46;Viaduto do Chá, 15 - Centro, São Paulo - SP, 01020-900;(11) 3397-5700
05.562.312/0001-02;2016-12-01;2;CAIXA ECONOMICA FEDERAL;00.360.305/0001-04;R Quintino Bocaiuva, 500 | Itapetininga - SP, CEP: 18200-670;(11) 3503-1250
05.562.312/0001-02;2016-12-01;2;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
05.562.312/0001-02;2016-12-01;2;THIAGO NOGUEIRA DE CAMARGO BITTENCOURT;04.338.989/0001-07;Al Fernao Cardim, 166, Apt 71, Jardim Paulista, Sao Paulo, SP, CEP 01403-020, Brasil;(11) 3337-1554
05.562.312/0001-02;2016-12-01;2;FABIÃO & MOREIRA LIMA SOCIEDADE DE ADVOGADOS;18.340.245/0001-23;R. da Quitanda, 60 - Centro, Rio de Janeiro - RJ, 20011-030;(21) 3553-1710
06.175.262/0001-73;2016-12-31;1;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP;11 3003-9285
07.224.019/0001-60;2016-12-01;1;Condomínio Shopping Parque D. Pedro;04.895.134/0001-79;Av. Guilherme Campos n500 Jd. Santa Genebra 13087901 Campinas-SP;(19)3756-7704
07.224.019/0001-60;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
07.224.019/0001-60;2016-12-01;1;Unishopping Administradora LTDA;01.169.817/0001-50;Av. Dr. Cardoso de Melo, 1184 - Vila Olimpia, São Paulo - SP, 04548-004;(11) 3044-0625
07.352.632/0001-63;2016-12-01;1;RODOBENS LOCACAO DE IMOVEIS LTDA;07.352.632/0001-63;R. Estado de Israel, 975 - Vila Clementino, São Paulo - SP, 04022-901;(11) 2124-8700
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
07.583.627/0001-61;2016-12-01;1;Não aplicável;0;Não aplicável;0
08.014.513/0001-63;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
08.098.114/0001-28;2016-12-01;1;BRAZILIAN SECURITIES COMPANHIA DE SECURITIZAÇÃO;03.767.538/0001-14;Av. Paulista Nº 1.374, 17º Andar;(11) 3253 9304
08.706.065/0001-69;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
08.706.065/0001-69;2016-12-01;1;Btg Pactual Gestora De Recursos Ltda.;09.631.542/0001-37;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
08.924.783/0001-01;2016-12-01;1;Hines do Brasil Empreendimentos LTDA.;02.541.350/0001-90;Av. das Nações Unidas, 12901 - Brooklin Novo, São Paulo - SP - CEP: 04578-910;11 5504-7600
09.276.964/0001-31;2016-12-01;1;CONDOMÍNIO BCP GREEN VALLEY COMMERCIAL;15.137.796/0001-04;Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000;(11) 2424-3221
10.375.382/0001-91;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
10.375.382/0001-91;2016-12-01;1;Aliansce Administração de Empreendimentos Comerciais Ltda;08.207.775/0001-44;R Dias Ferreira 190 sala 301 Rio de Janeiro-RJ;(21) 2176-7272
10.869.155/0001-12;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
10.869.155/0001-12;2016-12-01;1;Condomínio Shopping Parque D. Pedro;04.895.134/0001-79;Av. Guilherme Campos n500 Jd. Santa Genebra 13087901 Campinas-SP;(19)3756-7704
10.869.155/0001-12;2016-12-01;1;Unishopping Administradora LTDA;01.169.817/0001-50;Av. Dr. Cardoso de Melo, 1184 - Vila Olimpia, São Paulo - SP, 04548-004;(11) 3044-0625
10.993.386/0001-33;2016-12-01;1;TERMINAL GARAGEM MENEZES CÔRTES SA;02.664.042/0001-52;115, Av. Nilo Peçanha, 85 - Centro, Rio de Janeiro - RJ, 20020-100;(21) 2544-6667
10.993.386/0001-33;2016-12-01;1;HINES GERENCIAMENTO DE PROPRIEDADES LTDA;10.422.274/0002-03;Corpo em Forma Suplementos - Torre Norte 6º andar, Av. das Nações Unidas, 12901 - Brooklin Novo, São Paulo - SP, 04578-910;(11) 5504-7600
10.993.386/0001-33;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
11.179.118/0001-45;2016-12-01;1;SECRETARIA DA RECEITA FEDERAL DO BRASIL;00.394.460/0058-87;Esp Dos Ministerios Bloco, 05, 7 Andar - Eixo Monumental, Brasilia-DF;(11) 3003 0146
11.179.118/0001-45;2016-12-01;1;COLLIERS INTERNATIONAL DO BRASIL CONSULTORIA LTDA;02.636.857/0001-28;Rua das Olimpíadas, 205 1º andar;(11) 3323-0000
11.602.654/0001-01;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
11.839.593/0001-09;2016-12-31;1;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP;11 3003-9285
12.323.987/0001-64;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
12.804.013/0001-00;2016-12-01;1;JURERE SC 401 INCORPORAÇÃO IMOBILIÁRIA LTDA.;14.630.884/0001-72;Rua Frei Caneca nº 17, Loja - Florianópolis/SC;(48) 3238-8224
12.887.506/0001-43;2016-12-01;1;W&C TEC MONITORAMENTO E INSTALAÇÕES LTDA - ME;14314655000149;Rua Duarte de Azevedo, nº 521/531, sala 207 - Santana - São Paulo/SP - CEP nº 02036-022;(11) 3360-4396
12.927.767/0001-40;2016-12-01;1;Sunset Vigilancia e Segurança Ltda;7958568000169;Rua Marquês de Valença, nº 43, A - Tijuca -  Rio de Janeiro/RJ - CEP 20550-030;(21) 25687114
12.969.125/0001-03;2016-12-01;1;Almeida, Rotenberg e Boscoli - Sociedade de Advogados;61074555000172;Av. Pedroso de Moraes, nº 1.201 - Centro Cultural Ohtake - São Paulo - SP - CEP nº 05419-001;(11) 3356-1800
12.969.125/0001-03;2016-12-01;1;JP Leal Advogados SS;3042181000107;Rua Eng. Ildefonso Simoes Lopes, nº 390 -Bairro Três Figueiras - Porto Alegre / RS - CEP nº 91.330-180;(51) 3223-7650
13.022.993/0001-44;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
13.022.993/0001-44;2016-12-01;1;VBI REAL ESTATE GESTAO DE CARTEIRAS LTDA;11.274.775/0001-71;R. Funchal, 418 - Vila Olimpia, São Paulo - SP, 04551-060;(11) 2344-2525
13.022.993/0001-44;2016-12-01;1;ASSOCIACAO FARIA LIMA 4440;20.531.952/0001-49;Av Brigadeiro Faria Lima, 4440 São Paulo 04538-132;(11)2103-9450
13.551.286/0001-45;2016-12-01;1;CONDOMÍNIO CENTRO EMPRESARIAL DE SÃO PAULO - CENESP;53.820.585/0001-52;Av. Maria Coelho Aguiar, 215 - Jardim São Luís, São Paulo - SP, 05804-900;(11) 3741-8333
13.966.653/0001-71;2016-12-01;1;Prefeitura Municapal de São Paulo;49.269.236/0019-46;Viaduto do Chá, 15 - Centro, São Paulo - SP, 01020-900;(11) 3397-5700
13.966.653/0001-71;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
13.966.653/0001-71;2016-12-01;1;THERA CORPORATE;14.778.678/0001-04;Av. Engenheiro Luís Carlos Berrini, 105 - Itaim Bibi, São Paulo - SP, 04571-010;(11) 4237-8898
14.376.247/0001-11;2016-12-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
