CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.497.954/0001-14;2021-12-01;1;Castro, Martini Engenheiros Associados S/C Ltda.;02.989.103/0001-51;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2021-12-01;1;Centrum Engenharia - Engenheiros Associados S/S;10.412.737/0001-31;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2021-12-01;1;Lippert Advogados;92.248.004/0001-01;R Manoelito de Ornellas, 55 - 10 Andar -Porto Alegre/RS.;(51) 3227-3448
01.636.325/0001-28;2021-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
01.636.325/0001-28;2021-12-01;1;Smith e Advogados Associados;4382706000116;Av. Cristovão Colombo, 2955 - conj. 503;51-3212-6665
04.141.645/0001-03;2021-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
04.722.883/0001-02;2021-12-01;1;MONACO, PATAH, ENDO, AGUIAR E ASDVOGADOS ASSOCIADOS;58.098.989/0001-06;Av. Brigadeiro Faria Lima, 1912 - 21º andar - Conjunto 21L - Jd. Paulistano;(11) 3087 7577
04.782.236/0001-88;2021-12-01;2;Perville Engenharia e Empreendimentos Ltda.;75.491.613/0003-05;Rua Dona Francisca, 8300 - Distrito Industrial - Joinville - SC;
05.562.312/0001-02;2021-12-01;1;GERPRO ENGENHARIA LTDA;10518679000169;Avenida Rio Branco, 181 - sala 2104 e 2105 - Centro, Rio de Janeiro/RJ - CEP: 20040-918;(21) 2215-1132
07.122.725/0001-00;2021-12-01;1;AMARAL BIAZZO PORTELA  ZUCCA SOC ADV;13.113.349/0001-81;RUA ELVIRA FERRAZ , 68, ANDAR 4 CONJ 23 E 24;(11) 3145-6000
07.583.627/0001-61;2021-12-01;1;N/A;0;N/A;N/A
10.456.799/0001-89;2021-12-01;1;Condominio Viva Open Mall;;Av. Dr. Nilo Peçanha, 3228 - Porto Alegre/RS;51 - 3073-7130
10.869.155/0001-12;2021-12-01;1;ALIANSCE ASSESSORIA COMERCIAL E SERVICOS LTDA.;07.545.705/0001-33;Rua Dias Ferreira, 190 - 3º Andar - Leblon - Rio de Janeiro/RJ CEP 22431-050;(21) 2176-7272
11.602.654/0001-01;2021-12-01;1;INSPER;06.070.152/0001-47;R. Quatá, 300 - Vila Olímpia, São Paulo;(11) 4504-2400
