CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
05.562.312/0001-02;2019-12-01;2;0023109-25.2010.4.02.5101;68730964;Demanda Revisional, pode alterar o valor do aluguel pago pelo locatário, em geral a partir da data-base de ajuizamento/citação. Custas e honorários advocatícios podem ser considerados devidos.
05.562.312/0001-02;2019-12-01;2;0223077-65.2011.8.26.0100;100000;Caso haja uma eventual sentença de procedência, será alterada a regra do processo decisório questionado.Custas e honorários podem ser considerados devidos.
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A
08.098.114/0001-28;2019-06-01;1;0254780-83.2009.8.19.0001 (2009.001.255527-3;112.001,36;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
08.098.114/0001-28;2019-06-01;1;0313178-23.2009.8.19.0001 (2009.001.314055-0);101.188,75;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
08.924.783/0001-01;2019-12-01;1;0043393-15.2014.8.07.0001 (2014.01.1.171683 - 2);0.00;De acordo com andamento do escritório, não há risco de perda financeira para o fundo. Demanda meramente acompanhada, pois pode trazer efeitos à 2016.01.1.032377-2.
10.375.382/0001-91;2019-12-01;1;0012806-76.2005.4.04.7200 (2005.72.00.012806-9);0;Revogação da licença ambiental de operação do Floripa Shopping
10.375.382/0001-91;2019-12-01;1;0048160-66.2008.8.24.0023 (023.08.048160-7);185583.19;Ação proposta com o intuito de compelir os réus ao cumprimento de obrigação de fazer (realizar obras de urbanização que teriam sido prometidas pelo shopping à municipalidade)[Construção de via de ligação entre a Rod. Virgília Vázea e a SC 401].
10.375.382/0001-91;2019-12-01;1;0000747-28.2006.8.24.0023 (023.06.000747-0);288014.5;Ação movida pelo Município para desapropriar a área destinada à instalação da Estação de Tratamento de Esgoto que atende a demanda sanitária do Floripa Shopping, o Centro Administrativo do Estado e os conjuntos habitacionais Parque da Figueira e Vila Cachoeira. O pagamento da indenização foi assumido pela Incorporadora de Shopping Center Florianópolis, que já depositou a quantia nos autos. Haverá o levantamento de quantia depositada a maior.
10.375.382/0001-91;2019-12-01;1;0301302-88.2014.8.24.0023;13779.18;Trata-se de demanda que, atualmente, discute a validade de acordo feito entre Shopping e fiadores de uma locação. O questionamento do locatário é, provavelmente, no contexto de validade do acordo e de eventual direito de regresso dos fiadores contra o locatário. Além de impactos financeiro, custas e honorários podem ser devidos.
10.375.382/0001-91;2019-12-01;1;0300565-46.2018.8.24.0023;5703828.35;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2019-12-01;1;0305617-23.2018.8.24.0023;0;Em tese, risco de embargos à execução é se entender que débito questionado na execução correspondente é inexigível, bem como arcar com honorários e custas judiciais.
10.375.382/0001-91;2019-12-01;1;0312063-42.2018.8.24.0023;0;Em tese, risco de embargos à execução é se entender que débito questionado na execução correspondente é inexigível, bem como arcar com honorários e custas judiciais.
10.869.155/0001-12;2019-12-01;1;0003108-02.2010.4.03.6100;500000;Incidência ou não de imposto de retenção de imposto de renda quando do pagamento de rendimentos a outros Fundos de Investimento Imobiliário, nos termos do art. 16-A, §1º da Lei nº 8.668/93.
13.974.819/0001-00;2019-12-01;1;N/A;0;N/A
14.365.190/0001-55;2019-12-01;1;52513.2016.811.0107 52645.2016.811.0107 52780.2016.811.0107;300.000,00;Embargos de terceiro opostos pelo Fundo Estrutura II apensos às execuções movidas pela AGROVERDE e pela GO AGRO, alegando que os imóveis da CPR objeto da execução não tem relação com as propriedades do Fundo Estrutura II
14.365.190/0001-55;2019-12-01;1;110310.2015.811.010710492.811.0107109363.2015.811.0107;300.000,00;Medidas cautelares ajuizadas pela AGROVERDE requerendo a sua nomeação como depositária judicial das lavouras de soja
