CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.636.325/0001-28;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
01.636.325/0001-28;2022-12-01;1;Smith e Advogados Associados;4382706000116;Av. Cristovão Colombo, 2955 - conj. 503;51-3212-6665
04.141.645/0001-03;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
04.722.883/0001-02;2022-12-01;1;MONACO, PATAH, ENDO, AGUIAR E ASDVOGADOS ASSOCIADOS;58098989000106;Av. Brigadeiro Faria Lima, 1912 - 21º andar - Conjunto 21L - Jd. Paulistano;(11) 3087 7577
04.782.236/0001-88;2022-12-01;1;Perville Engenharia e Empreendimentos Ltda.;75.491.613/0003-05;Rua Dona Francisca, 8300 - Distrito Industrial - Joinville - SC;(047) 3803-2200
07.000.400/0001-46;2022-12-01;1;CONSTRUTORA CRR INCORPORACAO E PARTICIPACOES LTDA;67280339000160;R HADDOCK LOBO, 846,  - CERQUEIRA CESAR, SAO PAULO - SP - 01414-000;(11) 3016-3016
07.224.019/0001-60;2022-12-01;1;UNI SHOPPING CONSULTORIA IMOBILIARIA LTDA;03958025000190;AV DR CARDOSO DE MELO, 1184, 14 AND SL 142 - VILA OLIMPIA, SÃO PAULO - SP - 04548-004;()
07.224.019/0001-60;2022-12-01;1;ALIANSCE ASSESSORIA COMERCIAL LTDA;07545705000648;R FIDENCIO RAMOS, 302, 5 ANDAR, VILA OLIMPIA, SÃO PAULO/SP, CEP: 04551-010;(21) 21767272
07.583.627/0001-61;2022-12-01;1;N/A;0;N/A;N/A
10.869.155/0001-12;2022-12-01;1;UNI SHOPPING CONSULTORIA IMOBILIARIA LTDA;03958025000190;AV DR CARDOSO DE MELO, 1184, 14 AND SL 142 - VILA OLIMPIA, SÃO PAULO - SP - 04548-004;(21) 2176-7272
10.869.155/0001-12;2022-12-01;1;ALIANSCE ASSESSORIA COMERCIAL LTDA;07545705000648;R FIDENCIO RAMOS, 302, 5 ANDAR, VILA OLIMPIA, SÃO PAULO/SP, CEP: 04551-010;(21) 21767272
11.260.134/0001-68;2022-12-01;1;MARTENS & DORNAUS SOCIEDADE DE ADVOGADOS;17938856000105;ALAMEDA LORENA, 427, 8º ANDAR, CONJUNTO 87, SÃO PAULO;(11) 3921-9317
11.728.688/0001-47;2022-12-01;1;PRIMAZ EMPREENDIMENTOS IMOBILIARIOS LTDA;8105821000102;RUA LEVINDO LOPES, 323, SALA 100, BELO HORIZONTE - MG;(31) 3289-4000
12.323.955/0001-69;2022-12-01;1;PRISMA REAL ESTATE GESTORA DE RECURSOS LTDA.;36358004000193;Av. Brg. Faria Lima, 2.601 - 11 andar - Jardim Paulistano;(11) 4858-3744
12.804.013/0001-00;2022-12-01;1;JJ CHAVES CONTADORES SOCIEDADE SIMPLES LTDA.;94154119000162;RUA DONA LAURA, 414 - PORTO ALEGRE/RS;(51) 3388-3677
12.804.013/0001-00;2022-12-01;1;JURERE SC 401 INCORPORAÇÃO IMOBILIÁRIA LTDA.;14630884000172;ROD. JOSE CARLOS MAUX, 5000;
12.969.125/0001-03;2022-12-01;1;Almeida, Rotenberg e Boscoli - Sociedade de Advogados;61074555000172;Av. Pedroso de Moraes, 1.201;11 3356-1800
12.969.125/0001-03;2022-12-01;1;VNP Advogados;3042181000107;Rua Prof. Atílio Innocenti, 474 - Vila Nova Conceição, São Paulo - SP;11 3043-8400
12.969.125/0001-03;2022-12-01;1;PriceWaterHouseCoopers Auditores Independentes;61562112000120;Av. Eusébio Matoso, 891;11 3031-7657
12.969.125/0001-03;2022-12-01;1;JP Leal Advogados SS;3042181000107;Rua Eng. Ildefonso Simões Lopes, 390, Porto Alegre/RS;(51) 3223-7650
12.969.125/0001-03;2022-12-01;1;Negrão Ferrari Sociedade de Advogados;10336302000199;Rua Olimpíadas, 134, 9º andar, São Paulo/SP;(11) 3047-0777
12.969.125/0001-03;2022-12-01;1;Diaz Rosa Sociedade de Advogados;30686676000141;Rua Coronel Adriano Machado, 104, São Paulo/SP;(11) 5641-1995
12.989.974/0001-29;2022-12-01;1;Vinci Real Estate Gestora de Recursos LTDA.;13.838.015/0001-75;Av. Bartolomeu Mitre 336, 701, Leblon, Rio de Janeiro - RJ CEP 22431-002;(21) 2159-6223
12.989.974/0001-29;2022-12-01;1;Machado Meyer Sendacz e Opice Advogados;45.762.077/0001-37;Rua Joaquim Floriano, 1052, conjuntos 151 e 152 - Jardim Paulista - São Paulo CEP 04534-004 - SP;(11)3236-2606
12.989.974/0001-29;2022-12-01;1;Líder Serviços Gerais Ltda;23.211.179/0001-21;Avenida Embaixador Abelardo Bueno, 01, BL 01, sala 311E - Jacarepaguá - CEP 22775-022 - Rio de Janeiro;(21)3298-9002
13.020.465/0001-56;2022-12-01;1;Grant Thornton Corporate Consultores de Negócios LTDA;13.418.712/0001-77;Av. Engenheiro Luiz Carlos Berrini, 105, conjunto 121, Torre 4, Cidade Monções,São Paulo - SP, CEP 04571-900;11 3886-5100
13.020.465/0001-56;2022-12-01;1;Ernst & Young Assessoria Empresarial LTDA;59.527.788/0001-31;Av. Presidente Juscelino Kubitschek, 1909, São Pualo Corporate Tower, 9º andar, cj 91, Vila Nova Conceição, CEP 04543-907;11 2573-3000
13.551.286/0001-45;2022-12-01;1;CONDOMINIO CENTRO EMPRESARIAL DE SAO PAULO-CENESP;53820585000152;AV MARIA COELHO AGUIAR, 215,  - JD SAO LUIZ, SAO PAULO - SP - 05805-000;(11) 37416198
13.974.819/0001-00;2022-12-01;1;N/A;0;N/A;N/A
14.217.108/0001-45;2022-12-01;1;Perville Engenharia e Empreendimentos Ltda.;75.491.613/0003-05;Rua Dona Francisca, 8300 - Distrito Industrial - Joinville - SC;
14.376.247/0001-11;2022-12-01;1;n/a;n/a;n/a;n/a
14.879.856/0001-93;2022-12-01;1;ELKO SP ADMINISTRACAO E COMERCIALIZACAO LTDA;15742975000162;Av. Giovanni Gronchi, 5819 - São Paulo/SP, CEP 05724-003;(21) 2583-9800
15.098.422/0001-19;2022-12-01;1;n/a;n/a;n/a;n/a
15.098.422/0001-19;2022-12-01;1;n/a;n/a;n/a;n/a
15.333.306/0001-37;2022-12-01;1;n/a;n/a;n/a;n/a
15.447.110/0001-73;2022-12-01;1;n/a;n/a;n/a;n/a
15.461.076/0001-91;2022-12-01;1;BSH BRASIL SERVICE & HOLDING LTDA;59.944.710/0001-12;AV.BRIGADEIRO LIMA E SILVA,1768 1A SP;(11)3813-6188
15.461.076/0001-91;2022-12-01;1;COLLIES INTERNATIONAL DO BRASIL CONSULTORIA;02.636.857/0001-28;RUA DAS OLIMPÍADAS Nº 205 1º ANDAR;(11)3323-0001
17.007.443/0001-07;2022-06-01;1;n/a;n/a;n/a;n/a
17.098.794/0001-70;2022-12-01;1;Rio Bravo Investimentos LTDA.;3864607000108;Av. Chedid Jafet, nº 222, Bloco B, 3º andar, cj 32 - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
17.161.979/0001-82;2022-12-01;1;Godinho e Gontijo Advogados- ME;3514812000162;Rua Paraíba, 1352, Savassi- Belo Horizonte - MG;31-3281.9699
17.161.979/0001-82;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
17.161.979/0001-82;2022-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
18.311.024/0001-27;2022-12-01;1;ITAU CORRETORA DE VALORES AS;61.194.353/0001-64;;
19.722.048/0001-31;2022-12-01;1;JARDINS SOLUÇÕES EIRELI;29.202.442/0001-00;Rua Augusta, n. 2840, 17º Andar, bairro Cerqueira César;
19.722.048/0001-31;2022-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE, TORRE PÃO DE AÇUCAR, BOTAFOGO, RIO DE JANEIRO / RJ;(21) 4560-1000
22.003.469/0001-17;2022-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE, TORRE PÃO DE AÇUCAR, BOTAFOGO, RIO DE JANEIRO / RJ;(21) 4560-1000
22.211.522/0001-75;2022-12-01;1;Virtus BR Partnes Assessoria Corporativa Ltda;10793363000175;Rua Joaquim Floriano 1120 - Itaim Bibi - CEP: 04534-004;(11) 3576-1500
24.796.967/0001-90;2022-12-01;1;JARDINS SOLUÇÕES EIRELI;29.202.442/0001-00;Rua Augusta, n. 2840, 17º Andar, bairro Cerqueira César;
24.796.967/0001-90;2022-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE, TORRE PÃO DE AÇUCAR, BOTAFOGO, RIO DE JANEIRO / RJ;(21) 4560-1000
26.195.121/0001-20;2022-12-01;1;Souza Cescon Barrieu FB. Soc Advogados;10687865000121;Rua Funchal, 418 - 11º na. S.Paulo - SP;11-3089.6500
26.195.121/0001-20;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.195.121/0001-20;2022-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
26.195.121/0001-20;2022-12-01;1;Advocacia Cunha Ferraz;87906000195;Av. Brig Faria Lima, 1461 - 6º andar São Paulo-SP;11-3104.7183
26.614.291/0001-00;2022-06-01;1;VÓRTX DTVM;22061500000188;Av. Brig. Faria Lima, 2277 - 2º andar;
26.614.291/0001-00;2022-06-01;1;CM Capital Markets DTVM Ltda;2671743000119;Rua Gomes de Carvalho, 1195 - 4º andar;(11) 3842-1122
26.990.011/0001-50;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;(51) 3388.3677
28.267.555/0001-13;2022-12-01;1;JULIUS BAER FAMILY OFFICE BRASIL GESTÃO DE PATRIMÔNIO LTDA;12695840000103;Rua Elvira Ferraz, nº 68, 10º e 11º andares - Vila Olimpia - São Paulo - SP;(11) 2161-2410
28.693.595/0001-27;2022-12-01;1;N/A;0;N/A;N/A
30.567.216/0001-02;2022-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
30.578.275/0001-78;2022-12-01;1;FREIRE E MERCON S/C ADVOGADOS ASSOCIADOS;04.016.996/0001-84;AVENIDA GOVERNADOR BLEY, 186 - SALA 1.101 - CENTRO - CEP: 29010150;(27) 3211.1076 
31.887.401/0001-39;2022-12-01;1;Rio Bravo Investimentos LTDA.;3864607000108;Av. Chedid Jafet, nº 222, Bloco B, 3º andar, cj 32 - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
32.274.197/0001-43;2022-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE, TORRE PÃO DE AÇUCAR, BOTAFOGO, RIO DE JANEIRO / RJ;(21) 4560-1000
32.274.553/0001-29;2022-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE, TORRE PÃO DE AÇUCAR, BOTAFOGO, RIO DE JANEIRO / RJ;(21) 4560-1000
