CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
07.583.627/0001-61;2022-12-01;1;N/A;0;N/A
15.333.306/0001-37;2022-12-01;1;0399173-57.2016.8.19.0001;0.00;Não há risco de perda, uma vez que se trata de crédito a receber. Referido crédito encontra-se em fase de habilitação na RJ.
15.333.306/0001-37;2022-12-01;1;0029413-55.2020.8.19.0001;231600.00;Em princípio, sem contingência passiva, na medida em que Fundo não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
15.333.306/0001-37;2022-12-01;1;0230698-36.2019.8.19.0001;0.00;Eventual perda da demanda implicará na condenação em honorários de sucumbência, em valor a ser eventualmente fixado pelo juiz da causa.
15.333.306/0001-37;2022-12-01;1;0070636-85.2020.8.19.0001;10032.30;Acordo. Aguarda-se cumprimento e posterior arquivamento do processo.
15.333.306/0001-37;2022-12-01;1;0131929-56.2020.8.19.0001;101643.60;Acordo.Pende homologação. Aguarda-se cumprimento e posterior arquivamento do processo.
15.333.306/0001-37;2022-12-01;1;0045173-47.2020.8.19.0000;0.00;Agravo - impossibilidade de executar a garantia pelo Itaú Seguros S.A. Demais impactos analisados na demanda principal.
15.333.306/0001-37;2022-12-01;1;0125434-93.2020.8.19.0001;0.00;Pedido de desistência. Aguarda-se homologação e arquivamento.
15.333.306/0001-37;2022-12-01;1;0091348-62.2021.8.19.0001;0.00;Decisão, determinando a suspensão desta demanda em razão dos efeitos atribuídos nos embargos 0251612-53.2021.8.19.0001. Anotada a suspensão e encaminhados os autos ao arquivo provisório.
15.333.306/0001-37;2022-12-01;1;0251612-53.2021.8.19.0001;0.00;Determinado o recolhimento dos honorários periciais pela Embargada. Honorários pagos. Aguardando perícia.  Paralelamente, a tentativa de acordo proposta pelo FII ainda não obteve resposta
18.330.535/0001-96;2022-12-01;1;1088118-57.2022.8.26.0100;;N/A
18.330.535/0001-96;2022-12-01;1;1133997-87.2022.8.26.0100;;N/A
23.570.871/0001-46;2022-12-01;1;N/A;0;N/A
23.964.908/0001-10;2022-12-01;1;N/A;0;N/A
26.614.291/0001-00;2022-06-01;1;1006027-66.2022.8.26.0533;1723882.4;Embargos à Execução p/ extinguir a Ação de Execução nº 1008741-33.2021.8.26.0533 movida pelo Fundo GGR Covepi em face da Covolan.
26.614.291/0001-00;2022-06-01;1;1004798-71.2022.8.26.0533;1000;Interpelação Judicial proposta pelo Fundo GGR Covepi, alegando fraude a credores em razão dos imóveis doados aos filhos de Jair e Elisabeth Covolan (Danielle Covolan, Christiane Covolan Matias e Rafael Covolan).
26.614.291/0001-00;2022-06-01;1;2179001-42.2022.8.26.0000;100000;O Fundo GGR Covepi interpôs Agravo de Instrumento em face da decisão proferida na Tutela Cautelar da Covolan nº 1004748-45.2022.8.26.0533, que deferiu a suspensão pelo prazo de 60 dias corridos de todas as ações de execução propostas contra a Covolan. *O GGR Covepi é parte interessada no processo.*processo principal nº 1004748-45.2022.8.26.0533
26.614.291/0001-00;2022-06-01;1;2096516-82.2022.8.26.0000;1624420.45;A Covolan Indústria Têxtil Ltda interpôs Agravo de Instrumento nos autos do cumprimento de sentença nº 0000497-98.2022.8.26.0533, no qual foi determinada a penhora de indenização securitária.  *O GGR Covepi é interessado no processo*processo principal nº 1004065-42.2021.8.26.0533
26.614.291/0001-00;2022-06-01;1;0021907-15.2020.8.16.0000;-;Aethra interpôs Agravo de Instrumento em 09/05/2020, pleiteando a reforma da decisão que indeferiu a tutela antecipada requerida no processo principal 0006204-36.2020.8.16.0035.
27.538.477/0001-81;2022-12-01;2;5016680-96.2021.4.03.6182;74786.76;Oposição de Embargos à Execução buscando o afastamento dos valores cobrados pela Autora Original (CVM).
28.693.595/0001-27;2022-12-01;1;N/A;0;N/A
42.922.127/0001-08;2022-12-01;1;1006287-56.2022.8.26.0271;1780000;Trata-se de mandado de segurança impetrado em decorrência de cobrança indevida de ITBI no ato de registro do Compromisso de Venda e Compra do Imóvel Trisoft perante o Cartório de Registro de Imóveis de |Itapevi/SP. Liminar deferida em 30/08/2022, autorizando o registro do Compromisso de Venda e Compra sem o recolhimento de ITBI. Sentença proferida em 28/03/2023, indicando a procêdencia do pedido e a manutenção dos efeitos gerados pela liminar. Aguardando manifestações recursais pelas Impetradas, ou o consequente trãnsito e julgado da demanda.
