CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
11.839.593/0001-09;2024-06-01;1;FII SDI RIO BRAVO RL;Lucro na Venda;71066724.80;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Cajamar I;Renda;279176688.25;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Cajamar III;Renda;242323311.75;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Campinas - Dom Pedro;Renda;238500000.00;Capital
12.005.956/0001-65;2024-06-01;1;IRA- Ed. Athenas;Receita de Aluguel mensal auferida pelo imóvel;1773788;Capital
12.005.956/0001-65;2024-06-01;1;CRI 21E0669785;Alocação do Caixa do Fundo;71442839.9199222;Capital
12.005.956/0001-65;2024-06-01;1;RT 105 EMPREENDIMENTOS E PARTI;SPE Investida do Fundo;10000000;Capital
12.005.956/0001-65;2024-06-01;1;ITAQUAQ INVEST IMOB E PAR SA;SPE Investida do Fundo;25000;Capital
12.005.956/0001-65;2024-06-01;1;LCI POS LIQ ANTECIPA - CDI D 95;Alocação do Caixa do Fundo;107916087.77;Capital
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 119ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;205904000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 240ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;152453548;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 205ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;108955000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 258ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;108743646.6;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 279ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;100689125;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 1 da 173ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;100000000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 2 da 263ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;88096000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 297ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;87800000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 146ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;86670000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 287ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;81366995.7778;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 126ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;50000000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 224ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;32216349.8415;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - BARI SECURITIZADORA S.A. - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;19731081.201;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 419 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;2646063.5883;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;1384288.8885;Emissão de Cotas
17.216.625/0001-98;2024-06-01;1;Títulos Públicos;Ativo de liquidez;330377264.33;Patrimonio Liquido do Fundo
18.369.510/0001-04;2024-06-01;1;MAM ZC TESOURO SELIC FI RF;Gestão de Liquidez do Fundo;935239.81;Fluxo de Caixa
18.730.914/0001-73;2024-06-01;1;MAM ZC TESOURO SELIC FI RF;Gestão de Liquidez do Fundo;2220876.33;Fluxo de Caixa
18.730.914/0001-73;2024-06-01;1;FII INFRA REAL ESTATE FII;Investimento de Longo Prazo;19914048.7;Fluxo de Caixa
18.979.895/0001-13;2024-06-01;1;FUNDO DE INVESTIMENTO IMOBILIARIO VIA PARQUE SHOPPING - FII;Lucro na Venda;391876.14;Capital
18.979.895/0001-13;2024-06-01;1;JS REAL ESTATE FII;Lucro na Venda;1029605.00;Capital
18.979.895/0001-13;2024-06-01;1;BTG PACTUAL CORPORATE OFFICE FUND FII;Lucro na Venda;1770685.00;Capital
18.979.895/0001-13;2024-06-01;1;CENESP FII;Lucro na Venda;117948.00;Capital
18.979.895/0001-13;2024-06-01;1;CEO CYRELA COMMERCIAL PROPERTIES FII;Lucro na Venda;33749.96;Capital
18.979.895/0001-13;2024-06-01;1;CASTELLO BRANCO OFFICE PARK - FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;Lucro na Venda;90230.00;Capital
18.979.895/0001-13;2024-06-01;1;GENERAL SHOPP FII;Lucro na Venda;1030156.04;Capital
18.979.895/0001-13;2024-06-01;1;GENAL MALLS FII;Lucro na Venda;71622784.27;Capital
18.979.895/0001-13;2024-06-01;1;FII RBR PROPERTIES;Lucro na Venda;5915642.12;Capital
18.979.895/0001-13;2024-06-01;1;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;1055540.00;Capital
18.979.895/0001-13;2024-06-01;1;FII IMOB RIO BRA REN;Lucro na Venda;14189164.11;Capital
18.979.895/0001-13;2024-06-01;1;FII RBR LOG;Lucro na Venda;821051.07;Capital
18.979.895/0001-13;2024-06-01;1;HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;10310624.73;Capital
18.979.895/0001-13;2024-06-01;1;NAVI IMOBILIÁRIO TOTAL RETURN FII;Lucro na Venda;5775622.01;Capital
18.979.895/0001-13;2024-06-01;1;CAPITANIA REIT FOF FII;Lucro na Venda;877325.40;Capital
18.979.895/0001-13;2024-06-01;1;FUNDO DE INVESTIMENTO IMOBILIARIO HBC RENDA URBANA;Lucro na Venda;131751772.09;Capital
18.979.895/0001-13;2024-06-01;1;AJ Malls Fundo de Investimento Imobiliario;Lucro na Venda;29030067.43;Capital
18.979.895/0001-13;2024-06-01;1;Capitania Agro Strategies Fiagro;Lucro na Venda;8023386.97;Capital
18.979.895/0001-13;2024-06-01;1;FII TG ATIVO REAL;Lucro na Venda;2999993.60;Capital
18.979.895/0001-13;2024-06-01;1;V2 RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;283003.53;Capital
18.979.895/0001-13;2024-06-01;1;GAZIT MALLS  FII;Lucro na Venda;1876366.25;Capital
18.979.895/0001-13;2024-06-01;1;RBR ALPHA PLUS MULTI REAL ESTATE FII;Lucro na Venda;3677940.00;Capital
18.979.895/0001-13;2024-06-01;1;BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO-IMOBILIARIO;Lucro na Venda;16594.96;Capital
18.979.895/0001-13;2024-06-01;1;CYRELA LOGISTICO FII;Lucro na Venda;100.00;Capital
18.979.895/0001-13;2024-06-01;1;V2 RENDA IMOBILIÁRIA FII;Lucro na Venda;2999.70;Capital
18.979.895/0001-13;2024-06-01;1;FOF JHSF CAPITAL FII;Lucro na Venda;36167371.85;Capital
18.979.895/0001-13;2024-06-01;1;CAPITANIA LOG FII FII;Lucro na Venda;37998376.82;Capital
18.979.895/0001-13;2024-06-01;1;VALORA RENDA IMOBILIARIA FUNDO DE  INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;Lucro na Venda;4897863.87;Capital
18.979.895/0001-13;2024-06-01;1;RBR DESEN COM I FII;Lucro na Venda;1500046.19;Capital
18.979.895/0001-13;2024-06-01;1;VINCI OPORT FII;Lucro na Venda;1498224.21;Capital
18.979.895/0001-13;2024-06-01;1;CRI 13F0056986;Lucro na Venda;41310036.21;Capital
18.979.895/0001-13;2024-06-01;1;CRI 20E0031084;Lucro na Venda;90604.08;Capital
18.979.895/0001-13;2024-06-01;1;CRI 20G0703083;Lucro na Venda;424091.08;Capital
18.979.895/0001-13;2024-06-01;1;CRI 20L0456514;Lucro na Venda;110775180.39;Capital
18.979.895/0001-13;2024-06-01;1;CRI 20L0456719;Lucro na Venda;144884793.83;Capital
18.979.895/0001-13;2024-06-01;1;CRI 20L0687041;Lucro na Venda;835638.60;Capital
18.979.895/0001-13;2024-06-01;1;CRI 21D0779652;Lucro na Venda;6274410.42;Capital
18.979.895/0001-13;2024-06-01;1;CRI 21F0097247;Lucro na Venda;586967252.45;Capital
18.979.895/0001-13;2024-06-01;1;CRI 21F0097589;Lucro na Venda;1394633146.77;Capital
18.979.895/0001-13;2024-06-01;1;CRI 22B0914263;Lucro na Venda;8898195.70;Capital
18.979.895/0001-13;2024-06-01;1;CRI 22I0868989;Lucro na Venda;29507200.74;Capital
18.979.895/0001-13;2024-06-01;1;CRI 22K1362572;Lucro na Venda;26793476.81;Capital
18.979.895/0001-13;2024-06-01;1;CRI 23E1226516;Lucro na Venda;400493118.32;Capital
18.979.895/0001-13;2024-06-01;1;CRI 23I1257019;Lucro na Venda;11510643.63;Capital
18.979.895/0001-13;2024-06-01;1;CRI 23I1696564;Lucro na Venda;99958128.04;Capital
18.979.895/0001-13;2024-06-01;1;CRI 23L0012204;Lucro na Venda;23427227.02;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24B1404723;Lucro na Venda;69256087.33;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24B1427981;Lucro na Venda;30235081.25;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24B1669805;Lucro na Venda;1083417606.23;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24C1526928;Lucro na Venda;30000000.00;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24E1318751;Lucro na Venda;20359200.00;Capital
18.979.895/0001-13;2024-06-01;1;CRI 24E1509888;Lucro na Venda;62769000.00;Capital
19.249.989/0001-08;2024-06-01;1;RB III HOLDING LTDA;A holding tem por objetivo a administração direta ou indireta de empreendimentos imobiliários residenciais;0;Oferta inicial do fundo
19.872.887/0001-36;2024-06-01;1;Imovel Vila Mascote - Escola;Renda;11000000.00;Capital
22.459.737/0001-00;2024-06-01;1;FII MULTI SHOPPINGS;Lucro na Venda;135.98;Capital
22.459.737/0001-00;2024-06-01;1;ICON REALTY I  FII;Lucro na Venda;1999842.60;Capital
22.459.737/0001-00;2024-06-01;1;FII CAPITÂNIA SHOPP;Lucro na Venda;3999991.10;Capital
23.648.935/0001-84;2024-06-01;1;CRI 15L0790908;Lucro na Venda;169954216.28;Capital
23.648.935/0001-84;2024-06-01;1;CRI 23L1437877;Lucro na Venda;110543315.41;Capital
23.964.843/0001-03;2024-06-01;1;TER_TUMI;Imóvel;24435438.09;Recurso próprios / emissão de cotas
24.960.430/0001-13;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 447 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;Emissão de Cotas;259862745.9509
24.960.430/0001-13;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 2 da 258ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;Emissão de Cotas;185000000
24.960.430/0001-13;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 237ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;Emissão de Cotas;135878136.8309
24.960.430/0001-13;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 1 da 55ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;Emissão de Cotas;110259810.8784
