CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2021-12-01;1;4540;831587;0.297;0.5422;0.4578;1;169672;0.0606;0;1;3;1022492;0.3652;0;1;;;;;;1;776398;0.2772;0;1;;;;;;;;;;;;;;;
00.613.094/0001-74;2021-12-01;2;459;99212;0.1308;0.510855541668347;0.489144458331653;1;54168;0.0714;0;1;1;88986;0.1174;0;1;1;121738;0.1605;0;1;2;394296;0.5199;0;1;;;;;;;;;;;;;;;
00.762.723/0001-28;2021-12-01;1;3719;485885;0.187291;0.988615;0.011385;2;327937;0.126408;0;1;;;;;;1;454425;0.175164;0;1;;;;;;;;;;;;;;;;1;1326032;0.511137;0;1
00.868.235/0001-08;2021-12-01;1;3;2100;0.0387;1;0;2;6056;0.1115;0;1;;;;;;1;9084;0.1672;0;1;;;;;;;;;;;;;;;;1;37076;0.6826;0;1
01.201.140/0001-90;2021-12-01;2;19199;2192377;0.925124;0.955045596628682;0.044954403371318;3;2516705;0.2062;0.630592779050385;0.369407220949615;;;;;;;;;;;;;;;;;;;;;;;;;;1;7494750;0.614130872991369;0;0.614130872991369
01.235.622/0001-61;2021-12-01;1;42;22314;0.0244;0.0244;0;;;;;;;;;;;1;139772;0.1531;0;0.1531;;;;;;1;351962;0.3857;0;0.3857;1;398332;0.4365;0;0.4365;;;;;
01.497.954/0001-14;2021-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2021-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;500000;1;0;1
01.633.741/0001-72;2021-12-01;2;323;104016;0.2048;0.0512;0.1536;1;44563;0.0877;;0.0877;;;;;;1;91389;0.1799;;0.1799;;;;;;;;;;;;;;;;1;268040;0.5276;;0.5276
01.636.325/0001-28;2021-12-01;1;;;;;;;;;;;1;25138;0.107016882983459;;0.107016882983459;;;;;;1;52379;0.222984658059655;;0.222984658059655;2;157383;0.669998458956885;;0.669998458956885;;;;;;;;;;
