CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
00.332.266/0001-31;2018-12-01;1;2019-03-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2749208;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;00.332.266/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.613.094/0001-74;2018-12-01;1;2019-03-25;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 37257821;;;WWW.BRKBDTVM.COM.BR;admfundos.brkb@brookfieldbr.com
00.762.723/0001-28;2018-12-01;1;2019-03-29;FUNDO DE INV. IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;36319906;N;N;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;00.762.723/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.868.235/0001-08;2018-12-01;1;2019-03-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;00.868.235/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.201.140/0001-90;2018-12-01;1;2019-03-29;FUNDO DE INVESTIMENTO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;61019165;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;01.201.140/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.235.622/0001-61;2018-12-01;2;2020-12-10;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;928126;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;01235622000161;AV. PRESIDENTE WILSON;231;11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br
01.497.954/0001-14;2018-12-01;1;2019-03-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;0;8703994;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;DEZEMBRO;N;N;S;N;N;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;01.497.954/000;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90.010-090;(51) 3213-2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br
01.601.918/0001-59;2018-12-01;1;2019-03-29;FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO;1997-01-14;INVESTIDORES EM GERAL;BRFTLZCTF001;500000;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;01.601.918/000;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
01.633.741/0001-72;2018-12-01;1;2019-03-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCTF010;508008;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;COIN DTVM LTDA;01633741000172;Avenida Brigadeiro Faria Lima;1461;10º andar Torre Sul;Jardim Paulistano;São Paulo;SP;01452-921;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
01.636.325/0001-28;2018-12-01;1;2019-03-19;FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO;1997-01-10;INVESTIDORES EM GERAL;BRPMOVCTF008;233608;S;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;01636325000128;AVENIDA NAÇÕES UNIDAS;11857;CJ. 111;BROOKLIN NOVO;SÃO PAULO;SP;04578908;11-5508.3500;;;WWW.BRCAPITAL.COM.BR;brcapital@brcapital.com.br
