CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
04.722.883/0001-02;2020-12-01;1;0129830-64.2010.8.26.0100 (583.00.2010.129830);857626.94;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
04.722.883/0001-02;2020-12-01;1;1123873-21.2017.8.26.0100;148010.63;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
04.722.883/0001-02;2020-12-01;1;1119129-12.2019.8.26.0100;1000;Trata-se de demanda para a produção antecipada de provas, com tutela parcialmente deferida para a produção de prova de engenharia e verificação de razões de vazamento no imóvel ocupado pelo autor. Resultado das provas produzidas pode ser utilizado por autor para a propositura de demanda principal, que terá seu risco e impacto oportunamente analisados em caso de efetiva proposição.
04.722.883/0001-02;2020-12-01;1;0085611-48.2019.8.26.0100;0;Incidente Processual - Análise do Risco na Demanda Principal
05.562.312/0001-02;2020-12-01;2;0100485-40.2016.5.01.0019;74842.78;Trata-se de ação em que o FII Almirante Barroso tem apenas o dever de depositar em juízo eventuais valores devidos à empresa ré, para fins de satisfação de crédito trabalhista. Em princípio, sem impacto financeiro adicional ao fundo, exceto eventuais depesas e honorários relacionados à representaçaõ do FII em juízo.
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A
08.098.114/0001-28;2020-06-01;1;N/A;N/A;N/A
08.924.783/0001-01;2020-12-01;1;0043393-15.2014.8.07.0001 (2014.01.1.171683 - 2);0.00;De acordo com andamento do escritório, não há risco de perda financeira para o fundo. Demanda meramente acompanhada, pois pode trazer efeitos à 2016.01.1.032377-2.
10.375.382/0001-91;2020-12-01;1;0502024-12.2012.8.24.0023;518834.94;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0327037-26.2014.8.24.0023;555136.69;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0018440-49.2011.8.24.0023    /    023.11.018440-0;731965.56;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0021887-11.2012.8.24.0023    /    023.12.021887-1;344399.53;Em tese, risco de embargos der terceiro é não se conseguir executar a dívida em relação a bem deste, com condenação em custas e honorários advocatícios.
10.375.382/0001-91;2020-12-01;1;0045465-71.2010.8.24.0023 (023.10.045465-0);787705.38;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0317181-04.2015.8.24.0023;203979.48;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0310936-74.2015.8.24.0023;60609.41;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0500148-85.2013.8.24.0023;69335.21;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0018438-79.2011.8.24.0023    /    023.11.018438-9;766902.62;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0502496-13.2012.8.24.0023;15272.86;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0500691-88.2013.8.24.0023;175677.09;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0335979-47.2014.8.24.0023;118843.64;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0044895-51.2011.8.24.0023 (023.11.044895-5);193997.66;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0045463-04.2010.8.24.0023;378199.69;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0323575-27.2015.8.24.0023;3877.57;Risco em condenação que determine ao réu/polo passivo o pagamento de valores ou o cumprimento de obrigações de fazer, não fazer e outras  pleiteados na inicial, com a consequente condenação em custas e honorários advocatícios.
10.375.382/0001-91;2020-12-01;1;0035769-74.2011.8.24.0023;80186.7;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0035771-44.2011.8.24.0023 (023.11.035771-2);45343.34;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0330133-15.2015.8.24.0023;31987.07;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;0313910-50.2016.8.24.0023;117205.2;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
10.375.382/0001-91;2020-12-01;1;1016132-52.2013.8.24.0023;398476.5;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
