CNPJ_Fundo;Data_Referencia;Versao;Nome_Representante;Nome_Fundo;Data_Eleicao;Termino_Mandato
05.562.312/0001-02;2019-12-01;2;Gabriel José Lindenbaum;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2019-04-22;2020-04-13
05.562.312/0001-02;2019-12-01;2;Gabriel José Lindenbaum;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2019-10-22;2020-04-30
05.562.312/0001-02;2019-12-01;2;Luiz Gustavo Aurnheimer Vieira;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2019-04-22;2020-04-13
05.562.312/0001-02;2019-12-01;2;Luiz Gustavo Aurnheimer Vieira;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2019-10-22;2020-04-30
07.000.400/0001-46;2019-12-01;2;BERNARDO AURNHEIMER VIEIRA;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2019-10-22;2020-04-30
07.000.400/0001-46;2019-12-01;2;GABRIEL JOSÉ LINDENBAUM;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2019-04-22;2020-04-13
07.000.400/0001-46;2019-12-01;2;GABRIEL JOSÉ LINDENBAUM;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2019-10-22;2020-04-30
07.000.400/0001-46;2019-12-01;2;Luiz Gustavo Aurnheimer Vieira;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2019-04-22;2020-04-13
07.000.400/0001-46;2019-12-01;2;Luiz Gustavo Aurnheimer Vieira;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2019-10-22;2020-04-30
07.224.019/0001-60;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
07.224.019/0001-60;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
10.869.155/0001-12;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
10.869.155/0001-12;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
10.869.155/0001-12;2019-12-01;1;Luiz Gustavo Aurnheimer Vieira;BB FII PROGRESSIVO;2016-06-14;2018-06-14
10.869.155/0001-12;2019-12-01;1;Luiz Gustavo Aurnheimer Vieira;BB FII PROGRESSIVO;2016-06-14;2018-06-14
11.425.077/0001-20;2019-12-01;1;Athaíde Vieira dos Santos;MB FUNDO DE INVESTIMENTO IMOBILIARIO;2019-04-30;2020-04-30
13.966.653/0001-71;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
13.966.653/0001-71;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
13.974.819/0001-00;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
15.799.397/0001-09;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
15.799.397/0001-09;2019-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
28.516.650/0001-03;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2019-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2019-12-01;2;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2019-12-01;2;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2019-12-01;2;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2019-12-01;2;N/A;N/A;1899-12-31;1899-12-31
