CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
20.173.064/0001-00;2024-06-01;1;VRDS;12865790000157;Rua Amalia de Noronha 151;(11) 30271800
20.173.064/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
20.173.064/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
20.173.064/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
20.173.064/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
22.459.737/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
22.459.737/0001-00;2024-06-01;1;n/a;n/a;n/a;n/a
26.614.291/0001-00;2024-06-01;2;VÓRTX DTVM;22.061.500/0001-88;Av. Brig. Faria Lima, 2277 - 2º andar;
26.614.291/0001-00;2024-06-01;2;BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;02.671.743/0001-19;Av. Brig. Faria Lima, 3477 - Torre B, 8º andar;(11) 2197-4645
28.757.546/0001-00;2024-06-01;3;JHSF MALLS S.A.;07859510000320;R RAFAEL DIAS COSTA, 140,  - DONA CATARINA, SÃO ROQUE - SP - 18132-852;()
28.757.546/0001-00;2024-06-01;3;CPPIB SALVADOR PARTICIPACOES LTDA - REGISTRO DO 6º OFICIO DE IMÓVEIS - SALVADOR;14555253000136;RUA DR JOÃO PONDDÉ, 500, BARRA, SALVADOR/BA, CEP: 40140-810;(71) 30119041
28.757.546/0001-00;2024-06-01;3;TRUE SECURITIZADORA S.A.;12130744000100;AV STO AMARO, 48, AND 2 CONJ 21 E 22 - VILA NOVA CONCEICA, SAO PAULO - SP - 04506-000;(11) 30714475
28.757.546/0001-00;2024-06-01;3;CYRELA COMMERCIAL PROPERTIES S.A. EMPREENDIMENTOS;08801621000186;AV BRIG FARIA LIMA, 3600, AND 14 CONJ 141 - ITAIM BIBI, SAO PAULO - SP - 04538-132;(11) 20792713
28.757.546/0001-00;2024-06-01;3;HSI REAL ESTATE VI MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA;40916976000123;Avenida Brigadeiro Faria Lima, 3.729, 7º andar, Itaim Bibi, CEP 04538-905;(11) 31275500
28.757.546/0001-00;2024-06-01;3;Marfim Empreendimentos Imobiliários;09597890000135;Av. Brigadeiro Faria Lima;(11) 38397901
32.527.626/0001-47;2024-06-01;1;NEWPORT REAL ESTATE GESTÃO IMOBILIÁRIA LTDA;33.723.838/0001-62;AvenidaBrigadeiro Faria Lima, nº 1912, Conj. 13L, CEP 05402-600;(11) 7659-5095
32.892.018/0001-31;2024-06-01;1;Itaú Corretora de Valores S.A. (Escriturador);61194353000164;Avenida Brigadeiro Faria Lima, 3500, 3º Andar, São Paulo -SP;+ 55 (11)2740-2535
33.046.142/0001-49;2024-06-01;1;SOULMALLS ADMINISTRACAO E COMERCIALIZACAO DE CENTR;34.631.451/0001-49;AV. ATAULFO DE PAIVA, Nº 226, SALA 101, LEBLON, RIO DE JANEIRO/RJ - CEP: 22440-033;(21) 3150-2733
34.691.520/0001-00;2024-06-01;1;COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411000156;AV BRIGADEIRO LUIZ ANTONIO, 3142;(11) 38860592
35.652.102/0001-76;2024-06-01;1;PATRIA EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;30048651000112;PR BOTAFOGO, 501, AND 5 PARTE - BOTAFOGO, RIO DE JANEIRO - RJ - 22250-040;(21) 45601000
35.652.102/0001-76;2024-06-01;1;DUBLIN EMPREENDIMENTO IMOBILIÁRIO SPE S/A;28299657000110;Avenida Horácio Lafer, 160, 10º andar, conjunto 102, Itaim Bibi, São Paulo/SP;(11) 30468080
