CNPJ_Fundo;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
00.332.266/0001-31;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;Chief Executive Officer;Investimentos Imobiliários
00.332.266/0001-31;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;De 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
00.762.723/0001-28;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;CEO chief executive officer;Investimentos Imobiliários
00.762.723/0001-28;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 - 2018;CIO Chief Investment officer;Investimentos Imobiliários
00.868.235/0001-08;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;Chief Executive Officer;Investimentos Imobiliários
00.868.235/0001-08;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;de 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
01.201.140/0001-90;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;Chief Executive Officer;Investimentos Imobiliários
01.201.140/0001-90;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;de 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
01.235.622/0001-61;2019-12-01;3;CARLOS ALBERTO SARAIVA;Diretor Responsável pelo FII;BNY Mellon Serviços Financeiros DTVM;2013 -Atualmente;Diretor Executivo;Responsável pelo negócio de Administração Fiduciária/ Banco
01.497.954/0001-14;2019-12-01;1;EDE ANTONIO GASPERIN;Diretor Responsável pelo FII;Corretora Geral de Valores e Câmbio Ltda.;Desde 01/06/1982;Diretor;Corretora de Valores e Câmbio
01.601.918/0001-59;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 a 2018;Chief Investment Officer;Investimentos Imobiliários
01.601.918/0001-59;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Último ano;Chief Enterprise Officer;Investimentos Imobiliários
01.633.741/0001-72;2019-12-01;1;Henrique Freihofer Molinari;Diretor Responsável pelo FII;Coin DTVM LTDA;30/08/1989 a atual;Sócio-diretor;Sociedade Distribuidora
01.636.325/0001-28;2019-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;BR-CAPITAL D.T.V.M. S.A.;2016 até a presente data;Diretoria;Distribuidora de Títulos e Valores Mobiliários
01.636.325/0001-28;2019-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretoria;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária.
01.657.856/0001-05;2019-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliários
01.657.856/0001-05;2019-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;BR-CAPITAL DTVM S.A.;2016 até a presente data;Diretora;Distribuidora de Titulos e Valores Mobiliários
02.027.437/0001-44;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;CEO chief executive officer;Investimentos Imobiliários
02.027.437/0001-44;2019-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 - 2018;CIO Chief Investment officer;Investimentos Imobiliários
