CNPJ_Fundo;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
08.696.175/0001-97;2024-06-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
11.839.593/0001-09;2024-06-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
11.945.604/0001-27;2024-06-01;1;José Alexandre Costa de Freeitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Fevereiro/2021 - Atual;Diretor;Responsável perante a CVM pela atividade de administração de carteira de valores mobiliários, administração fiduciária.
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Maio/2017 - Atual;Superintendente de Administração Fiduciária;Responsável pela administração fiduciária de mais de 3mil fundos, zelando pelos interesses dos cotistas.
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Outubro/2005 - Abril/2017;Gerente de Estruturação de Produtos Asset;Responsável pelo desenvolvimento e gestão da prateleira de fundos de investimento, coletivos e exclusivos, bem como carteiras administradas e ETFs.
12.978.943/0001-72;2024-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Credit Suisse Hedging-Griffo Corretora de Valores S/A.;Outubro/2006 a fevereiro/2017;Vice Presidente - Real Estate;Instituição Financeira
12.978.943/0001-72;2024-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments Distribuidora de Títulos e Valores Mobiliários Ltda.;Fevereiro/2017 até a presente data;Sócia e Diretora;Instituição Financeira
